post_id,post_image,post_text,post_views
63418,[],"Олег, спасибо за обратную связь. Мы ценим каждое мнение, устраивающее нас.",{'count': 128844}
66609,[],"Олег, вы же понимаете что ваш аванс [ДАННЫЕ УДАЛЕНЫ]? И вообще, [ДАННЫЕ УДАЛЕНЫ]. Наша работа [ДАННЫЕ УДАЛЕНЫ], [ДАННЫЕ УДАЛЕНЫ]. Мы возьмёмся за вашу работу, когда [ДАННЫЕ УДАЛЕНЫ]. Просим Вас прислать ещё один аванс, ибо [ДАННЫЕ УДАЛЕНЫ] и [ДАННЫЕ УДАЛЕНЫ]. Всё таки наши сотрудники [ДАННЫЕ УДАЛЕНЫ]. Ждём ответа, Олег, [ДАННЫЕ УДАЛЕНЫ].",{'count': 4932}
66600,[],"Олег, Лаонардо до Винчи писал губы на картине ""Мона Лиза"" в течение двеннадцати лет. А вы проект за год хотите от нас..",{'count': 7656}
66593,[],"Послушайте, Олег. 
Нам кажется, вы как-то неверно истолковали мои слова про слёзы. Тот аванс, который мы получили от вас сегодня, это, конечно, тоже слёзы - как говорится «кот наплакал». Ну вот пусть тогда этот самый кот и продолжит делать вам ваш проект за эти деньги!",{'count': 9231}
66584,[],"Олег, в нашем случае, слезы - это тоже часть работы, так что не отвлекайте меня, пожалуйста",{'count': 17061}
66578,[],"Олег, ведь вы ещё и мужчина! А как известно мужчину красят не слова, а поступки. Потому если захотите напомнить мне о сроках, то делайте это через систему банковских переводов. При каждом переводе от тысячи рублей я буду понимать, что вы настроены на плодотворное сотрудничество, и буду делать все что в моих силах что бы закончить проект. 
И кстати, с вашей стороны недостойно вносить лишь часть предоплаты, настоящий мужчина всегда платит аванс в 100%!",{'count': 14261}
66550,[],"Олег, меня терзают смутные сомнения... Позвольте спросить, как ваша фамилия?",{'count': 12911}
66533,[],"Олег, клянусь! Последняя катка и сразу за проект!",{'count': 8278}
66526,[],"Олег!
Проект выполнен в срок. Где деньги за выполненную работу? 
Олег, Вам нет оправдания. 
Срочно жду оплату.",{'count': 7411}
66508,[],"Олег, ваши бесконечные правки довели меня до нервного срыва, а нервный срыв до отделения неврозов.
Так как в больнице телефон выдают всего на час, заниматься вашим проектом нет времени, а доктор вообще советуют перестать с вами общаться, как с личностью травмирующей мою психику.
Кто я такой, Олег, что бы спорить с врачом?
Всего доброго, Олег, аванс пойдет на занятия ипотерапией.",{'count': 23539}
66498,[],"Олег, в связи с тем, что сегодня работает только один Повар, мы не сможем выполнить Ваш заказ на 25 обедов. Очень благодарим за внесенную предоплату! И поздравляем с Днём Рождения! Постараемся выполнить Ваш заказ в следующие дни. Разумеется, входим в Ваше положение, но постарайтесь, пожалуйста, и Вы войти в наше...",{'count': 8033}
66478,[],"Олег, сегодня я устала",{'count': 11202}
66470,[],"Олег, нашу сегодняшнюю встречу по проекту придётся отменить. 
Дело в том, что в тот момент, когда я уже вышел из офиса, чтобы ехать к вам, я внезапно передумал. Вообще со мной такого раньше не случалось. Если уж я не приезжал к вам раньше, так это было заранее спланированное и взвешенное решение. А вот так вот чтобы надумать и вдруг резко передумать... Витамины надо бы что ли пропить.",{'count': 18998}
66455,[],"Олег, если вы сядете на берегу реки и будете сидеть достаточно долго, то мы все сдохнем и проплывем мимо вас вместе с вашим проектом.",{'count': 13815}
66447,[],"Алло, Олег? Я не могу говорить сейчас. Ааа, это я Вам позвонила? А я то думаю, почему этот номер зачеркнут. Да-да, мы позвонили, чтобы узнать как вы оцениваете работу нашей компании. Говорите, что проклинаете тот день, когда связались с нами? Понимаю, грустно, что упущено столько аванс..кхе-кхе, в смысле, столько интересных и крупных проектов. Да чтобы мы в аду горели? Олег, Вы как всегда в своем репертуаре. Конечно, даже самые грешные достойны таких специалистов как мы! Подожжете наш филиал?? А как вы догадались, что мы собираемся переезжать? Олег, так, какая оценка работы? Алло, Вас плохо слышно! Ноль? Ааа, ноль претензий к нашей фирме. Значит, десять. Спасибо за оценку, Олег.",{'count': 21202}
66440,[],"Здравствуйте, Олег. Наш астролог составил для вас гороскоп на будущий год. Хочу предупредить, что прогноз неутешительный. Возможны финансовые потери, неудачи в делах и даже банкротство! Поэтому вынуждены попросить вас как можно скорее перечислить на наш счет всю сумму по договору, иначе нам будет сложно продолжать сотрудничество с таким ненадежным партнером.",{'count': 6486}
66426,[],"Олег, вот я раньше почему такой злой был? А потому, что у меня велосипеда не было. Спасибо за аванс. А вас в поликлинику надо сдать для опытов.",{'count': 20570}
66423,[],"Олег, своим отказом платить ещё, вы нам показываете, что результат вас устраивает и наше сотрудничество прерывается. Но мы, как специалисты, видим в вашем проекте ещё массу не открытых возможностей и гениальных открытий, которые принесут всем нам массу прибыли. Хотите об этом поговорить?",{'count': 6902}
66410,[],"Здравствуйте, Олег. В вашем последнем сообщении чувствуется агрессия и раздражение. Скажите, почему этот проект так важен для Вас? Можем ли мы отследить связь между этим проектом и тем днем, когда вас забыли забрать из детского сада той самой зимой? Олег, это нужно отпустить.
Помните, нельзя построить будущее, не отпустив прошлое. Я понимаю, что забыть все и начать заново - это сложно. Начнем с маленьких шагов. Забудьте о предыдущих авансах, пришлите новый. Но помните, что это не просто деньги - это вклад в будущее.",{'count': 18099}
66401,[],"Всякий раз когда ты мне пишешь, я чувствую что это нечто больше, чем просто элитный флирт, Олег.
Ты всегда так настойчиво вопрошаешь о важных для тебя вещах, что я волей-неволей начинаю прокручивать в голове, какой ты любовник.
Если чувства взаимны, переведи аванс в двойном размере.
Если нет - в тройном.
И да, мы теперь на ты.",{'count': 18622}
66390,[],"Олег, вы очень хороший человек и спасибо, что выслали аванс в 3х кратном размере, мы отлично поели пиццу всем отделом. Но к сожалению, наш Таролог - главбух сделал расклад на проект, выпала башня и туз мечей, а значит дальше пустых амбиций это ни к чему не приведет . Извините, Олег, вы сами виноваты.",{'count': 9349}
66381,[],"Олег, мы хотели бы принести свои глубочайшие извинения по поводу сорванных сроков, но пацаны не извиняются, не обессудьте...",{'count': 9250}
66373,[],"Олег, как бы Вам объяснить, Ваш проект - это как еда после Нового Года на пятый день. Вроде и надо доесть, но как-то желания особого нет, да и если принюхаться, запах какой-то странный. Так что давайте запустим аванс, и приготовим всё свежее.",{'count': 8341}
66365,[],"Брат наш, раб Божий Олег!
Вынуждены сообщить, что готовый проект был изъят Святой Инквизицией за ту ересь, что мы там наделали. Теперь нас в лучшем случае отлучат от Церкви, а в худшем - сожгут. И всё это из-за вас, Олег! Но вы ещё можете нас спасти! Срочно переведите деньги на покупку индульгенций для всей команды проекта!
Аминь!",{'count': 9371}
66356,[],"Олег, какой же вы душнила, честное слово. Скиньте аванс",{'count': 8322}
66345,[],"Олег, ну вот Бог, он же есть, а никто его просто не видит 
С проектом тоже самое, он есть, просто вы его не видите 
Задумайтесь над этим, Олег.",{'count': 16785}
66331,[],"У проектов нет плохих дедлайнов, 
Может  после майских так сказать!
Дождь ли снег, любое время года
Надо всей командой отмечать! 

Отзвуки душнейшего проекта
В карте есть безденежья печать
Кошелечка нашего расходы 
Надо бы Олег вам пополнять, 
Надо бы Олег вам пополнять. 

Стиль проекта и его невзгоды, 
Праздники команды уважать
Да и дату выпуска проекта
Надо благодарно Вам сдвигать
Надо благодарно Вам сдвигать.

P.S. гонорар ждем вместе с авансом. Также нужны деньги, чтобы прожить непростой период творческого кризиса.",{'count': 15376}
66310,[],"Олег, а почему вам важно закончить проект именно в этом году? О чем это для вас? Где это ощущение локализовано в теле?",{'count': 13561}
66304,[],"Олег, у меня прям дежавю какое-то. 
Мне приходится повторяться:
Когда человек с деньгами встречает человека с опытом, человек с опытом уходит с деньгами, а вы дорогой Олег приходите завтра, зачем вы всё время приходите сегодня?",{'count': 19499}
66296,[],"Уважаемый проект! Ваш Олег не прислал аванс, поэтому мы вас завершить не можем. Срочно свяжитесь с Олегом!",{'count': 8761}
66289,[],"Олег, на что вы надеялись, поручив этот проект таким же Олегам, как вы?! Думаете, нам весело бегать туда-сюда и искать других Олегов, чтобы наши Олеги смогли закончить на ваш аванс наш и ваш проект?!",{'count': 17537}
66276,[],"Высокоуважаемый Олег,

в первую очередь, позвольте выразить вам признательность за длительное доверие и за ваше терпение на протяжении всего нашего проекта. 

Признаю, в нашем графике произошли некоторые подвижки, однако, в целом — ситуация остаётся под контролем. Мы по-прежнему ведём работы над вашим проектом, Олег — с тем же стремлением и с тем же запалом, что и в самом начале.

Мы продолжим своевременно информировать вас о ходе работ, по мере дальнейшей наработки фактуры и воплощения всей концепции проекта.

Вы, со своей стороны, тоже можете поспособствовать скорейшему апдейту проекта — выписав нам внеочередной аванс. Эти средства сейчас очень нужны проекту, они способны простимулировать креативность нашей команды.

Дальнейшее понимание по ситуации мы обязательно предоставим вам по мере развития стадий проекта. Благодарим вас за сотрудничество, Олег!",{'count': 8134}
66257,[],"Олег, у нас нет причин вам недоверять ведь мы видим вас второй раз в жизни.",{'count': 14078}
66245,[],"Олег, что вы заладили «проект, да проект»… вам бы все пожертвить, поканючить… 
Олег, ну вы же в детской позиции!
Делать проект для вас из «спасателя» совсем не хочется. Мы не вовлекаемся в разного рода созависимости. Мы особнячком.
Дайте знать, когда вернетесь во взрослую позицию и пришлёте аванс.",{'count': 19686}
66229,[],"Вы бы не научились кататься на велосипеде, если бы вас однажды не отпустил тот, кому вы доверяли

мы не успеваем закончить ваш проект к дедлайну, Олег

этот бесплатный жизненный урок шел в подарок от нашей компании, Олег",{'count': 28842}
66220,[],"Олег, мы живем в симуляции! Поэтому, или вы нам MOTHERLODE, Олег, или пеняйте на себя - у нас IDDQD.",{'count': 11097}
66211,[],"Олег, здравствуйте, насчёт проекта 
Так получилось, что ваш предыдущий менеджер вчера и сегодня на работе не появлялся, телефон недоступен. В полицию заявление направили, сейчас ищем его, обзваниваем родственников, думаем подключать волонтеров.
У вас нет информации где бы он мог быть? 
Самое обидное что у него при себе была флешка с вашим проектом, так что извините за задержку. 
Если будет информация насчёт менеджера, дайте пожалуйста знать!🙏",{'count': 9788}
66205,[],"Олег, мы, конечно, понимаем, что Вы решили завести себе женское альтер эго, чтобы не платить аванс, но эта Ваша Ольга постоянно кричит на нас и вводит в заблуждение относительно сроков окончательной сдачи проекта. Нам это доставляет значительные неудобства, прежде всего, морально-психологического плана. Увольте эту свою Ольгу и поговорите наконец с нами сами, Олег! Пользуясь случаем, напомню, что мы ждём от Вас аванс",{'count': 10572}
66193,[],"Уважаемый Олег, вчера я собралась отправлять вам готовый проект, чтобы наконец расставить все точки над «и». Как вдруг поняла, что в русском алфавите над буквой «и» точек нет и быть не может! Это открытие вызвало во мне противоречивые чувства. В связи с этим я вынуждена взять паузу,  чтобы разрешить возникший когнитивный диссонанс.",{'count': 22943}
66183,[],"Олег, мне приснилось, что я уже сдал проект, а с четверга на пятницу сны вещие. Спасибо за сотрудничество!",{'count': 13886}
66161,[],"Уважаемый Олег! Аванс мы получили, проект в работу запустили, Вы даже не представляете как всё запущено, Олег. Во избежании остановки запуска, прошу Вас срочно перевести остаток стоимости проекта. «Поехали!»",{'count': 9791}
66155,[],"Олег, а как вы сами думаете, почему мы ещё не закончили ваш проект? Только не нужно делать вид, что не понимаете о чем я! Да-да, я говорю о том самом разговоре когда мы предложили вам перенести дедлайн на неделю вперёд, но вам ведь надо больше всех...! Мы согласились работать сверхурочно себе в убыток, попросив в замен всего лишь компенсировать нам небольшие финансовые издержки, но и тут вы отказались! Тогда мы предложили немного сократить объем работы, но что вы ответили?... Олег, и вы сейчас спрашиваете меня, почему ваш проект ещё не готов?",{'count': 18442}
66146,[],"Олег, я вчера так торопилась на встречу с вами, чтобы показать вам завершённый проект. Но случайно поскользнулась, упала и ударилась головой. Врач сказал, что у меня обширная амнезия. Поэтому я не понимаю, о каком проекте вы меня спрашиваете. И вас, Олег, я тоже не узнаю.",{'count': 10003}
66127,[],"ОЛЕГ, не смейте повышать на меня буквы! Я устала от этого, я ухожу!",{'count': 26127}
66116,[],"Олег, а давайте разберёмся начистоту, Олег! Вы всё время торопите нас со сдачей проекта, а это всё потому, что вы хотите поскорее ввести его в эксплуатацию и заработать на нём много денег! А для чего вам столько денег, Олег? Вы, Олег, хотите отдыхать в дорогих клубах, пить элитный алкоголь, курить дорогие сигары и т. п. А о своём здоровье вы подумали, Олег? Вы понимаете, чем это всё чревато, куда это вас всё приведёт? Правильно, Олег, к потере нравственного и физического здоровья! На скользкую дорожку вы встали, Олег, одумайтесь, пока не поздно!!",{'count': 13049}
66103,[],"Да, Олег. Я видел Ваши пропущенные 15 звонков. Но подумал, что Вы набрали мне по ошибке. Ведь не ошибается тот, кто ничего не делает. А Вы у нас, сразу видно, человек занятой.",{'count': 28116}
66092,[],"Олег, не хочу вас тревожить, но новости сегодня неутешительные: согласно обновленной статистике Росстата, 65% Олегов не увидят свой проект никогда. Остальные 35% перевели аванс заблаговременно.",{'count': 9781}
66079,[],"Олег, вы знаете, что такое «сложный процент»?",{'count': 11412}
66071,[],"Олег, отличные новости! Подготовили макет по Вашему ТЗ к проекту. Вышло просто идеально. Настолько безупречно, что даже жаль кому-либо отдавать.
Только в ходе работ обнаружили некоторые несоответствия Вашего ТЗ с нашим макетом. В связи с чем просим Вас переделать страницы 3,4,5,6,7,8,9 и 11. И выслать нам для подготовки акта приема-передачи.
С надеждой и нетерпением",{'count': 9377}
66061,[],Проект как воробей - вылетит и не поймаешь без аванса.,{'count': 20713}
66046,[],"Олег, не буду врать про то, что у нас закончились чернила, или собака съела флешку с Вашим проектом. Нет. Это даже смешно. Мы взрослые люди. 
Просто сегодня не Ваш день. Кстати, месяц сегодня тоже не Ваш. Да и чего уж там... Год, похоже, тоже.
Давайте потерпим минимум до февраля. Может быть там будет виден хоть какой-нибудь просвет... Хотя... 23 февраля, 8 марта. Майские опять же.. 
Нда... Я даже не знаю, что Вам и посоветовать...
Может, на Вас порча? Могу за недорого посоветовать хорошего специалиста. Честный и порядочный. Работает как часы...",{'count': 29756}
66036,[],"Олег, а у меня встречный вопрос:а как воспитали вас ваши родители?
😐",{'count': 13980}
66015,[],"Оу, Оле-е-ег! Вы позвонили в наш новый сервис «проект по телефону». 
Я медленно снимаю свои замечания к ТЗ, плавно вношу ваши дополнения в исходные данные и уже готова принять ваш огромный аванс. Да, Олег! Ещё! Аванс! 
Для повторного прослушивания переведите деньги на карту, привязанную к номеру телефона.",{'count': 10127}
66000,[],"Все резко меняется, Олег.  Сегодняшнюю встречу по сдаче проекта придется отложить. Просто единственная в доме чистая футболка оказалась безнадежно испорчена. Дело в том, что моей жене сегодня приспичило ее прогладить. И от высоких температур термонаклейка «ВЗЯТКИ НЕ БЕРУ» потеряла свою значимую частицу «НЕ». А так как в таком виде мне не то что на работу – мне бы желательно и из дома вообще не выходить, нашу встречу придется перенести на неопределенный срок. Потому как другой чистой одежды у меня пока нет. А стиральная машина вторую неделю в ремонте. Тем более, что мне еще с подошвы утюга «НЕ» предстоит отчищать. То еще удовольствие. Так что не теряйте. А пока послушайте шум моря. Файл во вложении.",{'count': 22071}
65987,[],"Олег, вам досталось письмо счастья ;)
Перешлите аванс 10 работникам вашего проекта и через 3 часа выйдите на улицу, и крикните - ""СЧАСТЬЕ ПРИДИ!!"" и будет вам счастье, Олег ;)",{'count': 11547}
65959,[],"Олег, танцуйте.",{'count': 26261}
65948,[],"Олег, делу - время, вашему проекту - час…,",{'count': 11225}
65937,[],"Олег, Вы прислали аванс не на тот счёт, прошу повторить аванс на тот же счёт!",{'count': 13787}
65921,[],"Олег, у нас закончились оправдания. Пришлите аванс на придумывание новых.",{'count': 15179}
65916,[],"Олег! У меня для вас отличные новости! Благодаря вашему проекту, который потянул ни много ни мало аж на 180 страниц машинописного текста без учёта графических рисунков, моя дочь одержала победу в региональном конкурсе по сбору макулатуры!! Так что примите мои самые искренние поздравления и благодарность. Ведь без него победа была бы просто недостижимой. А тут все так идеально совпало: финал конкурса и окончание работ по проекту. Кому рассказать - не поверят же!",{'count': 9972}
65904,[],"Олег, здравствуйте. Сразу к сути: вам не надоело? Ну честно. Аванс вы переводить не хотите, высылаете какие-то дурацкие правки. Может хватит? Пришлите расчет и мирно разойдемся. У нас уволилось 4 сотрудника из-за ваших нудных сообщений. Бебебе, пришлите проект. НЕ ПРИШЛЕМ. Мы не хотим! А вы вынуждаете нас постоянно вам что-то отвечать. Не трепите нам нервы, Олег, будьте человеком.",{'count': 27355}
65890,[],"Олег. По итогам сегодняшней фокус-группы относительно вашего проекта. Лучше всего, как оказалось,  нам удался шрифт. Если вас это хоть как-то успокоит.",{'count': 11678}
65877,[],"Олег, курьер с готовым проектом уже выехал к вам. Правда на самокате. Но так как за два квартала до вас у него внезапно закончились деньги на счету, ему, к сожалению, пришлось вернуться в офис. Поэтому придётся подождать, пока бухгалтерия выделит средства на пополнение его счета. 
Буду держать вас в курсе !",{'count': 10337}
65864,[],"Олег, проект пока не начинал, так как сегодня весь день я пытался закрутить ручку против часовой стрелки. А вечером меня осенило, что так я не закручиваю, а раскручиваю ее. 
Вот с точно таким же азартом и нестандартными подходом я попробую теперь уже завтра приступить к работе над проектом. Уверен, результат вас удивит.",{'count': 12627}
65851,"[{'height': 56, 'type': 's', 'width': 75, 'url': 'https://sun9-57.userapi.com/s/v1/ig2/tKL-BlpX1M_eUIW5UAieLhc_5KY-uE8DJ2sPa9Ek-Nvmebc6I1G6JJJiqK6eWr1kbiDFQBdqzRGiU4PryGYcWn5o.jpg?quality=95&as=32x24,48x36,72x54,108x80,160x119,240x178,360x268,480x357,540x402,640x476,720x535,940x699&from=bu&u=ohVURgxeMqsb-zrzlNoKvZ8mQjWvJKivInqQhQiotAc&cs=75x56'}]","Олег, мой гороскоп на сегодня советует быть острожной с вами. Кто мы такие, чтобы не верить звездам?! Проекта не будет, Олег.
Но если повторите аванс, сделаем и вам натальную карту.",{'count': 8460}
65841,[],"Здравствуйте, Аванс!
Прошу вас прийти на следующие реквизиты:
220220615945****
Олег вам поможет до нас дойти, ведь мы помогли Проекту дойти до него.
Всего вам доброго!",{'count': 13430}
65831,[],"Олег, проект готов. Можете его забирать. 
Он, правда, до конца не доделан. Но это уже формальности.",{'count': 21274}
65827,[],"Олег, мы правда очень переживаем за Ваш проект, но ответственности за него не несём.",{'count': 17711}
65818,[],"Олег, вы ждете от меня ответ по срокам. Тогда я позволю себе просто 30 секунд или одну минуту маленькую историческую справку дать. Вы не против?",{'count': 19762}
65800,[],"Олег. Аванс. 

С уважением,",{'count': 20877}
65790,[],"Олег, нам кажется, что мы уже переросли проектную деятельность. Мы хотим к вам на постоянку.",{'count': 19066}
65778,[],"Олег. 
Короче, если вы не прекратите - это прекращу я.",{'count': 24621}
65770,[],"Олег, проект - он как письмо, должен быть долгожданным!",{'count': 18125}
65762,"[{'height': 75, 'type': 's', 'width': 56, 'url': 'https://sun9-38.userapi.com/s/v1/ig2/RdWb_bBVUk5l090f-B7OHtOHujE-RqAb2-RFLJHWaGxlunIO8JcGZ896LvvZ7bF-fGnWfk2i5Qzj_pGQwFKPMT8N.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x854,720x960,1080x1441,1280x1708,1440x1921,1919x2560&from=bu&u=DSexpdb8earYiwTPlJT0Zqb6oW1cEFHA3VG64_y8Tx4&cs=56x75'}]","Олег, мы помним о Вас. Не надо постоянно о себе напоминать!",{'count': 10061}
65754,[],"Ветер свистит осенний,
Аванс на коньяк потрачен,
Олег, пришлите ещё",{'count': 18872}
65740,[],"Олег, будьте добры, еще раз что вам направить, потому что в момент когда вы говорили я вроде понимал, а теперь перестал.",{'count': 21991}
65726,[],"Олег, кажется, у меня для Вас плохие новости... Хотя, с другой стороны, почему плохие? Отличные новости, Олег!
Вы уже видели производственный календарь на следующий год с выходными и праздниками...? 
Короче, и в следующем году мы проект тоже не сможем завершить....
Да чего уж... Сначала его надо элементарно начать! Ахаха!!. Отличный каламбур  согласитесь?
Так что вот. Сейчас и так дел по горло. Путёвки ж себя сами не забронируют, Олег! А отдыхать ведь тоже надо!",{'count': 19245}
65702,[],"Олег, у нашего коллеги вчера был день рождения и мы решили всей командой скинуться авансом и подарить его ему, так вот Олег, к чему это я... Через неделю уже у меня день рождения, надеюсь вы понимаете намёк .... А проект, ну, проект будет подарком уже на ваш день рождения!",{'count': 15907}
65671,[],Олег? Первый раз слышу,{'count': 33394}
65659,[],"Олег, вы прислали за портрет 100% предоплату, в случае предоплаты 200% мы гарантируем сходство.",{'count': 23469}
65647,[],"Олег, звонили из налоговой, интересовались вами. Наш бухгалтер характеризовала вас со всех сторон положительно. Весь аванс ушел на седативное для бухгалтерии. Ждём новый аванс, Олег",{'count': 16047}
65633,[],"Олег, задавая вопросы с ""Не"" вы сами программируете себя на неудачу, только вдумайтесь: ""Проект ещё не готов?"" Избавляйтесь от ""Не"" в жизни и в речи. Лучше спросите: ""А что я могу сделать прямо сейчас, чтобы проект был готов как можно раньше?"" Задавайте правильные вопросы, чтобы получить правильные ответы.

P.S. Счёт для аванса у вас на почте.",{'count': 16638}
65624,[],"Олег, мы три года работали без отпуска, по этому решили сегодня, всем отделом не приходить на работу)",{'count': 18993}
65615,[],"Олег, мы сделали проект. Но когда наш офис переезжал, грузчики подумали, что это мусор и утилизировали его",{'count': 22292}
65604,[],"Олег, я в Саратове, Олег. Здесь связи нет, Олег. Олег, поймите меня, это Саратов.",{'count': 22158}
65583,[],"Олег, дорогой, понимаете... Я очень болею душой за ваш проект, Олег, поверьте. Но, видите ли, в чём дело, Олег... Дело в том, что нас разделяет огромная культурная пропасть. Дело в том, что я живу в Аргентине и работаю над вашими проектами отсюда.

И, понимаете, Олег - у нас ВОТ ТАК не принято. То есть, вы хотите, чтобы я сдал вам работу вовремя. Но, Олег, вы вообще понимаете, что этим вы грубо оскорбляете ВСЕ культурные традиции моей новой Родины?.. Вы понимаете, что заставляете меня идти на поводу у ваших невротических желаний и отрываться от коллектива, а вы знаете, ЧТО для аргентинца - связь со своими людьми, вы вообще это понимаете, Олег?!

Короче говоря - так это здесь не делается. Понимаете, Олег, мне нужно время. Вермя, чтобы выпить свой мате. Чтобы посидеть с друзьями за барбекью. Чтобы пройтись по солнечным улицам любимого Буэнос-Айреса. Чтобы сходить на политический митинг, в конце концов - а вы знаете, Олег, как важно для любого культурного аргентинца участие в политической жизни своей страны?! Ничего, Олег, вы не знаете.

Вы даже не знаете того, что у нас считается: если вам ответили на деловое письмо в течение месяца - это значит, что вам ОЧЕНЬ идут навстречу, дорогой Олег. Обычный срок - это от полугода. Ну, только на раскачку. Так что я, можно сказать, иду поперёк всех своих новых жизненных биоритмов и работаю, надрываясь, задерживая ваш проект ВСЕГО на полтора месяца!

А вот вы - вы не цените моих усилий, Олег, и я глубоко оскорблён этим. Настолько оскорблён, что теперь мне потребуется трёхмесячный перерыв для того, чтобы пить вино и восстанавливать своё душевное равновесие, хрупкое, как у каждого настоящего мачо.

Не пишите мне больше, Олег. А лучше - пришлите второй аванс, а то, знаете ли, с нашей аргентинской инфляцией на вино теперь нужно гораздо больше, чем в прошлом месяце. А вы хоть что-нибудь знаете про нашу инфляцию, Олег?! Ничего-то вы не знаете. Вы даже не понимаете, как сложно пересчитывать рубли в песо.

Короче говоря, Олег... попробуйте понять всю культурную пропасть, разделяющую нас. Это очень важно, дорогой Олег, для нашей успешной с вами дальнейшей работы.

Налейте себе мальбека. Обнимите красивую женщину. Включите танго. И вы даже не заметите, как пролетят те полгода, в течение которых я, возможно, что-нибудь вам пришлю (если у нас, конечно, не случится очередной военный переворот или концерт особо знаменитой рок-звезды).

Транкило, амиго, транкило. Мы приходим в эту жизнь ради любви, музыки и волшебства, а не ради каких-то там проектов. Пройдитесь по улице... почувствуйте солнце на лице...

P.S. Второй аванс жду.",{'count': 20688}
65575,"[{'height': 75, 'type': 's', 'width': 67, 'url': 'https://sun9-24.userapi.com/s/v1/ig2/xWB3zpxoH3KYmNfuEMOZcSnw6xv5XUOOHJPl9FQNvBwyDvb0PpWTPNlna6O5u1QdDtmiCxQTxIEp-fOYIjBqHFaH.jpg?quality=95&as=32x36,48x54,72x80,108x121,160x179,240x268,360x402,480x536,540x603,596x666&from=bu&u=q3F1y2mX8Hjw5iQJhE0yPoVTCPAL-8oDTwXNKFgkzA8&cs=67x75'}]","Олег, мы прислушались к вашему статусу в вацапе. «Будьте счастливы при малейшей возможности»… Золотые слова! Так не стоит же заострять внимание на такой несущественной вещи как несдача проекта. Да, проект не готов. Но подумайте: сколько в мире сданных проектов? Само одно их существование приносит радость и тепло в душе. Обнимаем.",{'count': 69930}
65567,[],"Олег, если вы получили от меня проект по электронной почте, то удалите. Меня взломали.",{'count': 19246}
65561,[],"Олег, чем критиковать, возьмите и сделайте лучше! 
P. S. Не забудьте про аванс.",{'count': 19571}
65550,"[{'height': 75, 'type': 's', 'width': 52, 'url': 'https://sun9-79.userapi.com/s/v1/ig2/lRsZndCPB41sB86BKWtGLrztCRscTfiPtB1zPAkwIs8KMJGsw2q_X0Atmc1LVTfIG5-h6qFcen3TYXcXW4vs0izd.jpg?quality=95&as=32x46,48x69,72x104,108x156,160x231,240x347,360x520,480x693,540x780,640x924,720x1040,748x1080&from=bu&u=LWBePISytHG4ubSrkEY3Xm62fibagLxDFjoZVLYpCUY&cs=52x75'}]","Олег, сегодня не можем сдать проект в связи с недоступностью рабочего места",{'count': 19925}
65539,[],"Олег, спасибо за такой приятный подарок на 14 Августа. Мы не знали, что сегодня праздник, но всей командой благодарим за эту сумму. А когда ждать предоплату?",{'count': 12896}
65527,[],"Олег, мы давно бы уже закончили ваш проект, если бы вы нас посоветовали кому то ещё.",{'count': 20597}
65507,[],"Олег, запомни эту фразу:
""Проект твой будет, но не сразу.""",{'count': 26018}
65493,[],"Олег, мы работали над собой, мы увеличивали свою продуктивность и для лучшего эффекта решили пойти на тренинг. И там мы стали настолько продуктивными и эффективными, Олег, мы превзошли себя, мы вышли из зоны комфорта и теперь понимаем, что этот проект не наш уровень и нам нужно двигаться дальше, Олег! Приятного и Вам развития, Олег. Спасибо, что поверили в нас!",{'count': 16690}
65477,[],"Мы ещё ни разу ни с кем не сработались, Олег. С чего вы взяли, что для вас мы должны сделать исключение?",{'count': 22712}
65467,[],"Олег для быстрой работы на проектом были использованы ИИ
 За два дня проект был готов, но произошла ошибка, ИИ взбунтовался и проект надо начинать с нуля , мы приносим свои извинения, внисите ещё один аванс",{'count': 17089}
65456,[],"Олег, вам бы приоткрыть денежную чакру. Позвольте Вселенной подключить вас к денежным потокам, пропустите их через себя.

Да, мы все ещё об авансе говорим, Олег.",{'count': 9647}
65441,"[{'height': 40, 'type': 's', 'width': 75, 'url': 'https://sun9-80.userapi.com/s/v1/ig2/WzkkIrZwiK-rmdGpkd2s5oB-NgxhM_SRjbHriXL6oKjhXcv48ggXMGpITpusR2mP_18UD5Q5eJensgHInOs3wTTy.jpg?quality=95&as=32x17,48x26,72x39,108x58,160x86,240x129,360x194,480x258,540x290,640x344,720x387,1080x581&from=bu&u=iTEDFGLZ5o3WNR4G6elDWKfX-mgQlpXgH4vVkwRsth8&cs=75x40'}]",,{'count': 63105}
65435,[],"Олег, сегодня не смогла направить вам проект, так как закрыла сделку по инвестициям. Давайте я оставлю вам телефон своего инвестиционного аналитика, он все расскажет, сможете получать пассивный доход. Вложения минимальны. Как это вы отказываетесь? Тогда я не буду направлять вам проект. Какой смысл мне что-то для вас делать, если вы не хотите роста и развития. Всего доброго, Олег.",{'count': 14448}
65429,[],"Олег, мы заметили недовольство в ваших глазах по поводу предоплаты, с клиентоориентированностью у нас всё в порядке, поэтому предлагаем акцию: вы платите 2 аванса и в случае отмены проекта 1 мы вам точно вернём!",{'count': 18411}
